id,status,komentarz,data_startu,data_zakończenia,nazwa_spolki
PL3.MAD,nowy,,,,MAD SP. Z O.O.
PL3.MDEW,nowy,,,,MEDIA DEWELOPER.PL SP. Z O.O.
PL3.MFM,nowy,,,,MAJOR FACILITY MANAGEMENT
PL3.PAR,nowy,,,,Partner S.A.
PL3.PMSA,nowy,,,,PLATFORMA MIESZKANIOWA S.A.
PL3.WHI,nowy,,,,WHIZZ S.A.
PL3.WTO,nowy,,,,WYBIERAM.TO Sp. z o.o.
PL4.CZE,nowy,,,,Murapol Czerwieńskiego Sp. z o.o.
PL4.GAR,nowy,,,,MURAPOL GARBARNIA Sp. z o.o.
PL4.INV,nowy,,,,Murapol Invest Sp. z o.o.
PL4.NOR,nowy,,,,MURAPOL NORD
PL4.NWI,nowy,,,,Murapol Nowe Winogrady Sp. z o.o.
PL4.PIA,nowy,,,,MURAPOL PIASTÓW SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL4.PRO,nowy,,,,MURAPOL PROJEKT Sp. z o.o.
PL4.WOL,nowy,,,,Murapol Wola Sp. z o.o.
PL5.CBU,nowy,,,,CROSS BUD SPÓŁKA AKCYJNA
PL6.MAM,nowy,,,,Murapol Asset Management Spółka Akcyjna
PL6.MFM2,nowy,,,,MFM CAPITAL 2
PL6.MFM3,nowy,,,,MFM CAPITAL 3 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL6.MFM4,nowy,,,,MFM CAPITAL 4 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL6.MFM5,nowy,,,,MFM CAPITAL 5 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL6.MFM6,nowy,,,,MFM CAPITAL 6
PL6.NZL,nowy,,,,Murapol Nowy Złocień 23 Spółka z ograniczoną odpowiedzialnością
PL6.PTF,nowy,,,,PETROFOX spółka z ograniczoną odpowiedzialnością
PL6.TP17,nowy,,,,TP XVII CAPITAL
PL6.TP19,nowy,,,,TP XIX CAPITAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ 
PL6.TP3,nowy,,,,TP III CAPITAL
